55 137
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
0 21 1
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 30 1
1 31 1
1 33 1
1 40 1
1 55 1
2 32 1
2 40 1
2 54 1
3 34 1
3 37 1
3 39 1
4 35 1
5 36 1
5 39 1
5 51 1
6 37 1
6 38 1
6 51 1
7 38 1
7 40 1
8 39 1
8 45 1
8 50 1
9 40 1
9 43 1
9 47 1
10 41 1
10 42 1
10 43 1
11 42 1
12 43 1
12 48 1
12 49 1
13 46 1
13 49 1
14 44 1
14 53 1
15 45 1
15 48 1
15 49 1
15 50 1
15 53 1
15 54 1
16 47 1
17 48 1
17 49 1
18 50 1
18 51 1
19 37 1
19 40 1
19 49 1
20 32 1
20 37 1
20 48 1
20 51 1
21 38 1
21 41 1
21 49 1
21 55 1
21 51 1
22 31 1
22 54 1
23 53 1
24 40 1
24 48 1
24 52 1
25 31 1
25 34 1
25 40 1
25 49 1
25 40 1
25 46 1
26 36 1
27 38 1
27 39 1
27 51 1
28 45 1
28 49 1
29 40 1
29 51 1
30 31 1
30 37 1
30 48 1
31 56 1
32 56 1
33 56 1
34 56 1
35 56 1
36 56 1
37 56 1
38 56 1
39 56 1
40 56 1
41 56 1
42 56 1
43 56 1
44 56 1
45 56 1
46 56 1
47 56 1
48 56 1
49 56 1
50 56 1
51 56 1
52 56 1
53 56 1
54 56 1
55 56 1
