72 196
0 1 1
0 3 1
0 5 1
0 7 1
0 11 1
0 13 1
0 15 1
0 21 1
0 23 1
0 25 1
0 35 1
0 37 1
0 39 1
0 41 1
0 43 1
0 47 1
0 49 1
0 59 1
0 61 1
0 71 1
1 2 1
2 3 1
2 13 1
2 73 1
3 4 1
4 1 1
4 5 1
4 15 1
4 73 1
5 6 1
6 3 1
6 7 1
6 17 1
6 73 1
7 8 1
8 5 1
8 9 1
8 19 1
8 73 1
9 10 1
10 7 1
10 11 1
10 21 1
10 73 1
11 12 1
12 9 1
12 23 1
12 73 1
13 14 1
14 1 1
14 15 1
14 25 1
14 73 1
15 16 1
16 3 1
16 13 1
16 17 1
16 27 1
17 18 1
18 5 1
18 15 1
18 19 1
18 29 1
19 20 1
20 7 1
20 17 1
20 21 1
20 31 1
21 22 1
22 9 1
22 19 1
22 23 1
22 33 1
23 24 1
24 11 1
24 21 1
24 35 1
24 73 1
25 26 1
26 13 1
26 27 1
26 37 1
26 73 1
27 28 1
28 15 1
28 25 1
28 29 1
28 39 1
29 30 1
30 17 1
30 27 1
30 31 1
30 41 1
31 32 1
32 19 1
32 29 1
32 33 1
32 43 1
33 34 1
34 21 1
34 31 1
34 35 1
34 45 1
35 36 1
36 23 1
36 33 1
36 47 1
36 73 1
37 38 1
38 25 1
38 39 1
38 49 1
38 73 1
39 40 1
40 27 1
40 37 1
40 41 1
40 51 1
41 42 1
42 29 1
42 39 1
42 43 1
42 53 1
43 44 1
44 31 1
44 41 1
44 45 1
44 55 1
45 46 1
46 33 1
46 43 1
46 47 1
46 57 1
47 48 1
48 35 1
48 45 1
48 59 1
48 73 1
49 50 1
50 37 1
50 51 1
50 61 1
50 73 1
51 52 1
52 39 1
52 49 1
52 53 1
52 63 1
53 54 1
54 41 1
54 51 1
54 55 1
54 65 1
55 56 1
56 43 1
56 53 1
56 57 1
56 67 1
57 58 1
58 45 1
58 55 1
58 59 1
58 69 1
59 60 1
60 47 1
60 57 1
60 71 1
60 73 1
61 62 1
62 49 1
62 63 1
62 73 1
63 64 1
64 51 1
64 61 1
64 65 1
64 73 1
65 66 1
66 53 1
66 63 1
66 67 1
66 73 1
67 68 1
68 55 1
68 65 1
68 69 1
68 73 1
69 70 1
70 57 1
70 67 1
70 71 1
70 73 1
71 72 1
72 59 1
72 69 1
72 73 1
